,307,European Average
" ""2011""", 17.96,19.491071428571434
" ""2012""", 16.68,19.041071428571428
" ""2013""", 15.4,19.03464285714286
" ""2014""", 14.12,18.471785714285712
" ""2015""", 11.8,17.6575
" ""2016""", 12.08,17.75428571428571
" ""2017""", 13.87,18.049642857142857
" ""2018""", 13.87,18.24857142857143
" ""2019""", 13.73,17.666071428571428
" ""2020""", 12.26,17.626785714285713
